EID_100001, De Villiers, Fabienne, (024) 777 486 820, fabienne.devilliers@heig-vd.ch, FEMALE, HEG, Professeur
EID_100024, Marchand, Bernadette, (024) 777 766 596, bernadette.marchand@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100025, De Villiers, Emil, (024) 777 833 586, emil.devilliers@heig-vd.ch, MALE, DEPG, Professeur
EID_100026, Dupond, Fabienne, (024) 777 483 156, fabienne.dupond@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100027, Clément, Henriette, (024) 777 805 544, henriette.clement@heig-vd.ch, FEMALE, EC, Assistant
EID_100028, Bauer, Julie, (024) 777 814 755, julie.bauer@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100029, Durant, Didier, (024) 777 183 383, didier.durant@heig-vd.ch, MALE, TIN, Professeur
EID_100030, Jones, Julien, (024) 777 167 648, julien.jones@heig-vd.ch, MALE, DEPG, Assistant
EID_100031, Durant, Lucien, (024) 777 465 704, lucien.durant@heig-vd.ch, MALE, TIN, Administratif
EID_100032, Belmondo, Julie, (024) 777 527 624, julie.belmondo@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100033, Clément, Cédric, (024) 777 403 462, cedric.clement@heig-vd.ch, MALE, TIC, Administratif
EID_100034, Dupont, Evelyne, (024) 777 832 764, evelyne.dupont@heig-vd.ch, FEMALE, TIC, Professeur
EID_100035, De Villiers, Aurore, (024) 777 805 400, aurore.devilliers@heig-vd.ch, FEMALE, EC, Etudiant
EID_100036, Smith, Lucien, (024) 777 178 488, lucien.smith@heig-vd.ch, MALE, EC, Assistant
EID_100037, Dupond, Guillaume, (024) 777 411 159, guillaume.dupond@heig-vd.ch, MALE, DEPG, Etudiant
EID_100038, Clément, Aurore, (024) 777 541 186, aurore.clement@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100039, Jones, Faustine, (024) 777 294 531, faustine.jones@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100040, Dupont, Guillaume, (024) 777 432 280, guillaume.dupont@heig-vd.ch, MALE, DEPG, Assistant
EID_100041, Jones, Fabienne, (024) 777 289 621, fabienne.jones@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100042, Simpson, Marc, (024) 777 269 692, marc.simpson@heig-vd.ch, MALE, TIN, Etudiant
EID_100043, Smith, Bryan, (024) 777 501 837, bryan.smith@heig-vd.ch, MALE, EC, Administratif
EID_100044, Belmondo, Brigitte, (024) 777 618 190, brigitte.belmondo@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100045, Clément, Albert, (024) 777 111 638, albert.clement@heig-vd.ch, MALE, TIN, Etudiant
EID_100046, Delon, Marc, (024) 777 478 454, marc.delon@heig-vd.ch, MALE, TIC, Professeur
EID_100047, Dupond, Dylan, (024) 777 617 148, dylan.dupond@heig-vd.ch, MALE, TIC, Assistant
EID_100048, Bauer, Irène, (024) 777 386 812, irene.bauer@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100049, Jones, Gontran, (024) 777 117 871, gontran.jones@heig-vd.ch, MALE, DEPG, Etudiant
EID_100050, Smith, Charles, (024) 777 172 543, charles.smith@heig-vd.ch, MALE, TIN, Etudiant
EID_100051, Durant, Carine, (024) 777 822 887, carine.durant@heig-vd.ch, FEMALE, EC, Assistant
EID_100052, Belmondo, Frédéric, (024) 777 487 453, frederic.belmondo@heig-vd.ch, MALE, TIN, Etudiant
EID_100053, Simpson, Fabienne, (024) 777 820 428, fabienne.simpson@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100054, Dupond, Frédéric, (024) 777 764 491, frederic.dupond@heig-vd.ch, MALE, HEG, Etudiant
EID_100055, Simpson, Gontran, (024) 777 191 719, gontran.simpson@heig-vd.ch, MALE, HEG, Professeur
EID_100056, Clément, Emma, (024) 777 854 836, emma.clement@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100057, Simpson, Irène, (024) 777 709 431, irene.simpson@heig-vd.ch, FEMALE, TIN, Administratif
EID_100058, Dupont, Carole, (024) 777 113 225, carole.dupont@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100059, Durant, Guillaume, (024) 777 896 684, guillaume.durant@heig-vd.ch, MALE, TIC, Administratif
EID_100060, De Villiers, Faustine, (024) 777 324 781, faustine.devilliers@heig-vd.ch, FEMALE, EC, Etudiant
EID_100061, Jones, Emil, (024) 777 868 436, emil.jones@heig-vd.ch, MALE, DEPG, Administratif
EID_100062, Clément, Bernadette, (024) 777 368 434, bernadette.clement@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100063, Simpson, Danièle, (024) 777 791 109, daniele.simpson@heig-vd.ch, FEMALE, TIC, Administratif
EID_100064, Jones, Fabrice, (024) 777 177 373, fabrice.jones@heig-vd.ch, MALE, HEG, Assistant
EID_100065, Simpson, Dorothé, (024) 777 617 448, dorothe.simpson@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100066, Simpson, Bernard, (024) 777 433 854, bernard.simpson@heig-vd.ch, MALE, DEPG, Etudiant
EID_100067, Durant, Carine, (024) 777 639 787, carine.durant@heig-vd.ch, FEMALE, TIC, Assistant
EID_100068, Marchand, Julien, (024) 777 724 626, julien.marchand@heig-vd.ch, MALE, DEPG, Assistant
EID_100069, Simpson, Danièle, (024) 777 506 576, daniele.simpson@heig-vd.ch, FEMALE, TIN, Administratif
EID_100070, Jones, Charles, (024) 777 669 827, charles.jones@heig-vd.ch, MALE, EC, Etudiant
EID_100071, Simpson, Dylan, (024) 777 773 789, dylan.simpson@heig-vd.ch, MALE, TIC, Administratif
EID_100072, De Villiers, Dylan, (024) 777 603 742, dylan.devilliers@heig-vd.ch, MALE, TIC, Assistant
EID_100073, De Decker, Edgar, (024) 777 317 659, edgar.dedecker@heig-vd.ch, MALE, COMEM, Etudiant
EID_100074, Delon, Emilie, (024) 777 401 882, emilie.delon@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100075, Simpson, Marc, (024) 777 287 274, marc.simpson@heig-vd.ch, MALE, TIC, Assistant
EID_100076, Bauer, Gontran, (024) 777 447 503, gontran.bauer@heig-vd.ch, MALE, TIC, Administratif
EID_100077, Jones, Georgette, (024) 777 533 840, georgette.jones@heig-vd.ch, FEMALE, HEG, Administratif
EID_100078, Dupond, Amélie, (024) 777 142 703, amelie.dupond@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100079, Simpson, Emilie, (024) 777 116 444, emilie.simpson@heig-vd.ch, FEMALE, EC, Etudiant
EID_100080, De Decker, Edgar, (024) 777 329 189, edgar.dedecker@heig-vd.ch, MALE, COMEM, Assistant
EID_100081, De Villiers, Luc, (024) 777 370 868, luc.devilliers@heig-vd.ch, MALE, TIC, Assistant
EID_100082, Simpson, Irène, (024) 777 737 592, irene.simpson@heig-vd.ch, FEMALE, HEG, Administratif
EID_100083, Jones, Carole, (024) 777 644 542, carole.jones@heig-vd.ch, FEMALE, EC, Etudiant
EID_100084, De Villiers, Gontran, (024) 777 582 366, gontran.devilliers@heig-vd.ch, MALE, HEG, Assistant
EID_100085, Smith, Evelyne, (024) 777 437 332, evelyne.smith@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100086, Delon, Frédéric, (024) 777 752 285, frederic.delon@heig-vd.ch, MALE, TIN, Administratif
EID_100087, Simpson, Albert, (024) 777 471 764, albert.simpson@heig-vd.ch, MALE, EC, Administratif
EID_100088, Bauer, Henriette, (024) 777 279 554, henriette.bauer@heig-vd.ch, FEMALE, HEG, Assistant
EID_100089, Dupont, Emilie, (024) 777 100 586, emilie.dupont@heig-vd.ch, FEMALE, TIC, Assistant
EID_100090, De Decker, Danièle, (024) 777 239 509, daniele.dedecker@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100091, Bauer, Fabienne, (024) 777 834 395, fabienne.bauer@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100092, Belmondo, Bryan, (024) 777 766 625, bryan.belmondo@heig-vd.ch, MALE, COMEM, Etudiant
EID_100093, Dupond, Evelyne, (024) 777 694 879, evelyne.dupond@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100094, Marchand, Aurore, (024) 777 310 729, aurore.marchand@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100095, Belmondo, Bernard, (024) 777 666 464, bernard.belmondo@heig-vd.ch, MALE, EC, Administratif
EID_100096, Smith, Carine, (024) 777 123 439, carine.smith@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100097, Jones, Gontran, (024) 777 328 718, gontran.jones@heig-vd.ch, MALE, EC, Professeur
EID_100098, Jones, Albert, (024) 777 487 238, albert.jones@heig-vd.ch, MALE, TIN, Professeur
EID_100099, Simpson, Carine, (024) 777 141 163, carine.simpson@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100100, Smith, Dylan, (024) 777 870 194, dylan.smith@heig-vd.ch, MALE, EC, Professeur
EID_100101, Marchand, Julien, (024) 777 454 419, julien.marchand@heig-vd.ch, MALE, COMEM, Administratif
EID_100102, Bauer, Danièle, (024) 777 463 749, daniele.bauer@heig-vd.ch, FEMALE, TIC, Assistant
EID_100103, Belmondo, Jimmy, (024) 777 370 402, jimmy.belmondo@heig-vd.ch, MALE, TIN, Administratif
EID_100104, Clément, Frédéric, (024) 777 638 177, frederic.clement@heig-vd.ch, MALE, DEPG, Assistant
EID_100105, Jones, Lucien, (024) 777 272 211, lucien.jones@heig-vd.ch, MALE, EC, Professeur
EID_100106, Delon, Dylan, (024) 777 782 485, dylan.delon@heig-vd.ch, MALE, TIN, Assistant
EID_100107, Smith, Dorothé, (024) 777 319 826, dorothe.smith@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100108, Jones, Dorothé, (024) 777 170 547, dorothe.jones@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100109, Bauer, Charles, (024) 777 461 793, charles.bauer@heig-vd.ch, MALE, EC, Assistant
EID_100110, Dupond, Fabrice, (024) 777 168 558, fabrice.dupond@heig-vd.ch, MALE, TIC, Assistant
EID_100111, Dupond, Georgette, (024) 777 804 838, georgette.dupond@heig-vd.ch, FEMALE, TIC, Administratif
EID_100112, Jones, Charles, (024) 777 129 880, charles.jones@heig-vd.ch, MALE, COMEM, Etudiant
EID_100113, Jones, Brigitte, (024) 777 579 779, brigitte.jones@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100114, Marchand, Bernadette, (024) 777 867 771, bernadette.marchand@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100115, Durant, Carine, (024) 777 164 291, carine.durant@heig-vd.ch, FEMALE, EC, Administratif
EID_100116, Delon, Emil, (024) 777 599 180, emil.delon@heig-vd.ch, MALE, COMEM, Etudiant
EID_100117, Dupont, Emil, (024) 777 416 332, emil.dupont@heig-vd.ch, MALE, COMEM, Professeur
EID_100118, Dupond, Luc, (024) 777 709 553, luc.dupond@heig-vd.ch, MALE, HEG, Professeur
EID_100119, Dupond, Carole, (024) 777 360 718, carole.dupond@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100120, De Villiers, Frédéric, (024) 777 823 849, frederic.devilliers@heig-vd.ch, MALE, DEPG, Professeur
EID_100121, Bauer, Fabienne, (024) 777 600 213, fabienne.bauer@heig-vd.ch, FEMALE, TIC, Administratif
EID_100122, Dupond, Cédric, (024) 777 410 806, cedric.dupond@heig-vd.ch, MALE, DEPG, Administratif
EID_100123, Belmondo, Albert, (024) 777 717 382, albert.belmondo@heig-vd.ch, MALE, HEG, Professeur
EID_100124, Delon, Emilie, (024) 777 898 847, emilie.delon@heig-vd.ch, FEMALE, TIC, Professeur
EID_100125, Dupont, Julie, (024) 777 253 259, julie.dupont@heig-vd.ch, FEMALE, EC, Assistant
EID_100126, Dupont, Cédric, (024) 777 523 797, cedric.dupont@heig-vd.ch, MALE, COMEM, Assistant
EID_100127, Clément, Dylan, (024) 777 846 221, dylan.clement@heig-vd.ch, MALE, DEPG, Etudiant
EID_100128, Marchand, Irène, (024) 777 527 837, irene.marchand@heig-vd.ch, FEMALE, HEG, Administratif
EID_100129, Dupond, Fabien, (024) 777 654 579, fabien.dupond@heig-vd.ch, MALE, DEPG, Etudiant
EID_100130, Durant, Carine, (024) 777 387 824, carine.durant@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100131, Smith, Anne, (024) 777 505 714, anne.smith@heig-vd.ch, FEMALE, TIC, Administratif
EID_100132, Jones, Irène, (024) 777 672 762, irene.jones@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100133, Dupont, Emilie, (024) 777 519 514, emilie.dupont@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100134, Belmondo, Emilie, (024) 777 689 300, emilie.belmondo@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100135, Simpson, Brigitte, (024) 777 209 838, brigitte.simpson@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100136, Bauer, Julie, (024) 777 283 239, julie.bauer@heig-vd.ch, FEMALE, TIN, Assistant
EID_100137, Durant, Irène, (024) 777 204 217, irene.durant@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100138, Marchand, Carine, (024) 777 539 435, carine.marchand@heig-vd.ch, FEMALE, HEG, Professeur
EID_100139, Dupond, Carole, (024) 777 380 592, carole.dupond@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100140, Dupont, Fabien, (024) 777 763 554, fabien.dupont@heig-vd.ch, MALE, TIN, Assistant
EID_100141, Durant, Cédric, (024) 777 543 810, cedric.durant@heig-vd.ch, MALE, DEPG, Professeur
EID_100142, Durant, Gontran, (024) 777 545 171, gontran.durant@heig-vd.ch, MALE, HEG, Professeur
EID_100143, Dupont, Amélie, (024) 777 641 641, amelie.dupont@heig-vd.ch, FEMALE, TIC, Assistant
EID_100144, Delon, Emil, (024) 777 515 108, emil.delon@heig-vd.ch, MALE, COMEM, Etudiant
EID_100145, Durant, Luc, (024) 777 704 256, luc.durant@heig-vd.ch, MALE, TIC, Administratif
EID_100146, Smith, Emilie, (024) 777 861 521, emilie.smith@heig-vd.ch, FEMALE, HEG, Assistant
EID_100147, Durant, Charles, (024) 777 160 714, charles.durant@heig-vd.ch, MALE, HEG, Professeur
EID_100148, Simpson, Julien, (024) 777 149 758, julien.simpson@heig-vd.ch, MALE, EC, Professeur
EID_100149, Simpson, Julien, (024) 777 374 524, julien.simpson@heig-vd.ch, MALE, TIC, Professeur
EID_100150, Marchand, Didier, (024) 777 679 447, didier.marchand@heig-vd.ch, MALE, EC, Etudiant
EID_100151, Marchand, Brigitte, (024) 777 348 200, brigitte.marchand@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100152, Bauer, Lucien, (024) 777 777 264, lucien.bauer@heig-vd.ch, MALE, TIN, Administratif
EID_100153, Delon, Henri, (024) 777 411 542, henri.delon@heig-vd.ch, MALE, TIC, Etudiant
EID_100154, Clément, Fabienne, (024) 777 873 112, fabienne.clement@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100155, Simpson, Henriette, (024) 777 642 619, henriette.simpson@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100156, Clément, Dylan, (024) 777 173 222, dylan.clement@heig-vd.ch, MALE, COMEM, Assistant
EID_100157, Clément, Fabien, (024) 777 773 848, fabien.clement@heig-vd.ch, MALE, EC, Assistant
EID_100158, Belmondo, Georgette, (024) 777 376 641, georgette.belmondo@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100159, Belmondo, Luc, (024) 777 659 410, luc.belmondo@heig-vd.ch, MALE, EC, Administratif
EID_100160, Marchand, Bernard, (024) 777 818 393, bernard.marchand@heig-vd.ch, MALE, TIN, Professeur
EID_100161, Simpson, Dylan, (024) 777 744 102, dylan.simpson@heig-vd.ch, MALE, EC, Assistant
EID_100162, De Villiers, Danièle, (024) 777 240 373, daniele.devilliers@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100163, Belmondo, Irène, (024) 777 786 857, irene.belmondo@heig-vd.ch, FEMALE, EC, Professeur
EID_100164, Dupont, Henri, (024) 777 718 216, henri.dupont@heig-vd.ch, MALE, TIC, Professeur
EID_100165, De Decker, Gontran, (024) 777 455 788, gontran.dedecker@heig-vd.ch, MALE, HEG, Etudiant
EID_100166, Dupont, Faustine, (024) 777 753 657, faustine.dupont@heig-vd.ch, FEMALE, HEG, Administratif
EID_100167, Belmondo, Luc, (024) 777 372 888, luc.belmondo@heig-vd.ch, MALE, DEPG, Professeur
EID_100168, Jones, Edgar, (024) 777 873 819, edgar.jones@heig-vd.ch, MALE, DEPG, Assistant
EID_100169, Belmondo, Evelyne, (024) 777 681 642, evelyne.belmondo@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100170, Marchand, Luc, (024) 777 502 839, luc.marchand@heig-vd.ch, MALE, COMEM, Professeur
EID_100171, Dupond, Dorothé, (024) 777 835 623, dorothe.dupond@heig-vd.ch, FEMALE, EC, Assistant
EID_100172, Bauer, Bernadette, (024) 777 336 834, bernadette.bauer@heig-vd.ch, FEMALE, TIC, Professeur
EID_100173, De Decker, Lucien, (024) 777 433 442, lucien.dedecker@heig-vd.ch, MALE, DEPG, Administratif
EID_100174, Simpson, Fabrice, (024) 777 268 484, fabrice.simpson@heig-vd.ch, MALE, DEPG, Administratif
EID_100175, Dupond, Bernadette, (024) 777 606 588, bernadette.dupond@heig-vd.ch, FEMALE, EC, Etudiant
EID_100176, Dupond, Luc, (024) 777 880 426, luc.dupond@heig-vd.ch, MALE, COMEM, Etudiant
EID_100177, Clément, Gilles, (024) 777 760 596, gilles.clement@heig-vd.ch, MALE, DEPG, Etudiant
EID_100178, Simpson, Brigitte, (024) 777 668 439, brigitte.simpson@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100179, Belmondo, Dorothé, (024) 777 778 228, dorothe.belmondo@heig-vd.ch, FEMALE, TIC, Administratif
EID_100180, Durant, Henriette, (024) 777 541 464, henriette.durant@heig-vd.ch, FEMALE, TIN, Administratif
EID_100181, Jones, Gontran, (024) 777 708 348, gontran.jones@heig-vd.ch, MALE, DEPG, Etudiant
EID_100182, Smith, Carine, (024) 777 642 517, carine.smith@heig-vd.ch, FEMALE, TIN, Assistant
EID_100183, Bauer, Faustine, (024) 777 459 117, faustine.bauer@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100184, De Villiers, Gilles, (024) 777 142 625, gilles.devilliers@heig-vd.ch, MALE, COMEM, Professeur
EID_100185, Dupond, Emilie, (024) 777 801 233, emilie.dupond@heig-vd.ch, FEMALE, TIN, Professeur
EID_100186, Dupont, Emil, (024) 777 434 824, emil.dupont@heig-vd.ch, MALE, EC, Professeur
EID_100187, Dupont, Gilles, (024) 777 522 361, gilles.dupont@heig-vd.ch, MALE, HEG, Etudiant
EID_100188, Durant, Georgette, (024) 777 264 513, georgette.durant@heig-vd.ch, FEMALE, EC, Assistant
EID_100189, Marchand, Carine, (024) 777 305 322, carine.marchand@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100190, Delon, Guillaume, (024) 777 665 544, guillaume.delon@heig-vd.ch, MALE, EC, Etudiant
EID_100191, Simpson, Brigitte, (024) 777 746 581, brigitte.simpson@heig-vd.ch, FEMALE, EC, Assistant
EID_100192, Dupond, Gontran, (024) 777 745 437, gontran.dupond@heig-vd.ch, MALE, EC, Assistant
EID_100193, De Decker, Emil, (024) 777 485 132, emil.dedecker@heig-vd.ch, MALE, EC, Administratif
EID_100194, Jones, Dorothé, (024) 777 191 159, dorothe.jones@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100195, Smith, Bernadette, (024) 777 363 701, bernadette.smith@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100196, De Decker, Bernadette, (024) 777 304 180, bernadette.dedecker@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100197, Belmondo, Bernadette, (024) 777 734 596, bernadette.belmondo@heig-vd.ch, FEMALE, EC, Professeur
EID_100198, Bauer, Faustine, (024) 777 340 416, faustine.bauer@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100199, Marchand, Carine, (024) 777 501 450, carine.marchand@heig-vd.ch, FEMALE, TIN, Professeur
EID_100200, Delon, Albert, (024) 777 630 792, albert.delon@heig-vd.ch, MALE, HEG, Etudiant
EID_100201, Durant, Albert, (024) 777 138 324, albert.durant@heig-vd.ch, MALE, EC, Professeur
EID_100202, Marchand, Emilie, (024) 777 771 891, emilie.marchand@heig-vd.ch, FEMALE, TIC, Professeur
EID_100203, Marchand, Bernard, (024) 777 549 634, bernard.marchand@heig-vd.ch, MALE, TIN, Assistant
EID_100204, Dupond, Fabien, (024) 777 157 648, fabien.dupond@heig-vd.ch, MALE, TIN, Administratif
EID_100205, Simpson, Emil, (024) 777 272 258, emil.simpson@heig-vd.ch, MALE, TIC, Professeur
EID_100206, Dupont, Emma, (024) 777 429 851, emma.dupont@heig-vd.ch, FEMALE, EC, Etudiant
EID_100207, Belmondo, Julien, (024) 777 740 879, julien.belmondo@heig-vd.ch, MALE, EC, Professeur
EID_100208, Smith, Brigitte, (024) 777 838 315, brigitte.smith@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100209, Marchand, Didier, (024) 777 834 438, didier.marchand@heig-vd.ch, MALE, DEPG, Etudiant
EID_100210, Clément, Lucien, (024) 777 503 842, lucien.clement@heig-vd.ch, MALE, COMEM, Etudiant
EID_100211, Dupond, Emil, (024) 777 503 252, emil.dupond@heig-vd.ch, MALE, TIC, Etudiant
EID_100212, Dupont, Amélie, (024) 777 252 684, amelie.dupont@heig-vd.ch, FEMALE, EC, Administratif
EID_100213, Belmondo, Carine, (024) 777 327 207, carine.belmondo@heig-vd.ch, FEMALE, EC, Professeur
EID_100214, Jones, Jimmy, (024) 777 249 597, jimmy.jones@heig-vd.ch, MALE, TIN, Professeur
EID_100215, Jones, Edgar, (024) 777 550 558, edgar.jones@heig-vd.ch, MALE, TIC, Assistant
EID_100216, Simpson, Albert, (024) 777 436 294, albert.simpson@heig-vd.ch, MALE, COMEM, Etudiant
EID_100217, Smith, Dylan, (024) 777 765 522, dylan.smith@heig-vd.ch, MALE, EC, Administratif
EID_100218, Smith, Luc, (024) 777 126 355, luc.smith@heig-vd.ch, MALE, EC, Professeur
EID_100219, Marchand, Dylan, (024) 777 106 764, dylan.marchand@heig-vd.ch, MALE, TIC, Etudiant
EID_100220, Simpson, Edgar, (024) 777 391 243, edgar.simpson@heig-vd.ch, MALE, HEG, Assistant
EID_100221, Marchand, Albert, (024) 777 499 436, albert.marchand@heig-vd.ch, MALE, HEG, Administratif
EID_100222, Belmondo, Carine, (024) 777 801 795, carine.belmondo@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100223, Jones, Albert, (024) 777 407 541, albert.jones@heig-vd.ch, MALE, DEPG, Administratif
EID_100224, Belmondo, Guillaume, (024) 777 827 700, guillaume.belmondo@heig-vd.ch, MALE, TIN, Assistant
EID_100225, Delon, Frédéric, (024) 777 212 883, frederic.delon@heig-vd.ch, MALE, HEG, Assistant
EID_100226, Dupont, Albert, (024) 777 731 829, albert.dupont@heig-vd.ch, MALE, HEG, Administratif
EID_100227, Delon, Henri, (024) 777 818 513, henri.delon@heig-vd.ch, MALE, DEPG, Assistant
EID_100228, Simpson, Fabrice, (024) 777 612 835, fabrice.simpson@heig-vd.ch, MALE, DEPG, Etudiant
EID_100229, Bauer, Edgar, (024) 777 787 848, edgar.bauer@heig-vd.ch, MALE, EC, Etudiant
EID_100230, Clément, Fabrice, (024) 777 459 369, fabrice.clement@heig-vd.ch, MALE, TIC, Professeur
EID_100231, Clément, Carine, (024) 777 589 523, carine.clement@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100232, Clément, Albert, (024) 777 566 565, albert.clement@heig-vd.ch, MALE, HEG, Assistant
EID_100233, De Villiers, Brigitte, (024) 777 444 235, brigitte.devilliers@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100234, Delon, Emilie, (024) 777 879 572, emilie.delon@heig-vd.ch, FEMALE, HEG, Administratif
EID_100235, De Decker, Bernadette, (024) 777 612 524, bernadette.dedecker@heig-vd.ch, FEMALE, HEG, Professeur
EID_100236, Belmondo, Faustine, (024) 777 480 473, faustine.belmondo@heig-vd.ch, FEMALE, TIC, Assistant
EID_100237, Simpson, Emilie, (024) 777 769 618, emilie.simpson@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100238, Bauer, Dorothé, (024) 777 308 880, dorothe.bauer@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100239, Smith, Danièle, (024) 777 391 214, daniele.smith@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100240, Simpson, Brigitte, (024) 777 378 180, brigitte.simpson@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100241, Clément, Dorothé, (024) 777 485 473, dorothe.clement@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100242, Delon, Brigitte, (024) 777 863 519, brigitte.delon@heig-vd.ch, FEMALE, TIC, Professeur
EID_100243, Delon, Christine, (024) 777 127 169, christine.delon@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100244, Bauer, Jimmy, (024) 777 212 351, jimmy.bauer@heig-vd.ch, MALE, COMEM, Assistant
EID_100245, Dupond, Danièle, (024) 777 190 898, daniele.dupond@heig-vd.ch, FEMALE, TIC, Professeur
